field_pid,node_id
ir:21699,317
ir:20432,318
ir:1058,319
ir:21631,320
ir:7672,321
ir:25473,322
ir:24670,323
ir:22863,324
ir:21135,325
ir:ir-batch6-4381,326
ir:ir-batch6-1926,327
ir:ir-batch6-4420,328
ir:24179,329
ir:ir-batch6-1365,330
ir:ir-batch6-2070,331
ir:ir-batch6-2332,332
ir:21214,333
ir:ir-batch6-4831,334
ir:23302,335
ir:ir-batch6-3421,336
ir:ir-batch6-4701,337
ir:ir-batch6-3152,338
ir:22318,339
ir:22935,340
ir:24875,341
ir:ir-batch6-276,342
ir:ir-batch6-5826,343
ir:ir-batch6-5775,344
ir:ir-batch6-835,345
ir:15979,346
ir:24502,347
ir:ir-batch6-3990,348
ir:21734,349
ir:ir-batch14-101,350
ir:ir-batch6-4794,351
ir:ir-batch6-1569,352
ir:ir-batch6-246,353
ir:ir-batch6-3956,354
ir:ir-batch6-5875,355
ir:24845,356
ir:24396,357
ir:ir-batch6-6261,358
ir:22004,359
ir:20678,360
ir:1761,361
ir:ir-batch6-2040,362
ir:ir-batch6-5303,363
ir:26094,364
ir:15568,365
ir:ir-batch6-4025,366
ir:25566,367
ir:22976,368
ir:20733,369
ir:ir-batch6-4028,370
ir:22431,371
ir:20544,372
ir:1496,373
ir:ir-batch6-3873,374
ir:13911,375
ir:22843,376
ir:15578,377
ir:23279,378
ir:ir-batch6-3591,379
ir:23570,380
ir:ir-batch6-4110,381
ir:22888,382
ir:ir-batch6-1906,383
ir:23764,384
ir:10230,385
ir:21118,386
ir:1841,387
ir:20412,388
ir:22432,389
ir:9934,390
ir:20524,391
ir:24708,392
ir:ir-batch6-3402,393
ir:508,394
ir:ir-batch6-5589,395
ir:2780,396
ir:22451,397
ir:23190,398
ir:8940,399
ir:24215,400
ir:23694,401
ir:ir-batch6-5805,402
ir:9319,403
ir:ir-batch6-4307,404
ir:624,405
ir:21671,406
ir:25627,407
ir:1821,408
ir:20162,409
ir:25337,410
ir:20608,411
ir:ir-batch12-147,412
ir:22886,413
ir:357,414
ir:9752,415
ir:12484,416
ir:24139,417
ir:22713,418
ir:1505,419
ir:9546,420
ir:22203,421
ir:14561,422
ir:ir-batch6-3592,423
ir:23573,424
ir:ir-batch6-5594,425
ir:ir-batch6-755,426
ir:ir-batch6-3316,427
ir:21540,428
ir:ir-batch6-4036,429
ir:894,430
ir:ir-batch6-1019,431
ir:1485,432
ir:24880,433
ir:ir-batch6-2408,434
ir:ir-batch6-2362,435
ir:1634,436
ir:14449,437
ir:ir-batch6-1504,438
ir:24330,439
ir:ir-batch6-1646,440
ir:ir-batch6-2729,441
ir:ir-batch6-169,442
ir:ir-batch6-1494,443
ir:23209,444
ir:9294,445
ir:24910,446
ir:25150,447
ir:21312,448
ir:24685,449
ir:1852,450
ir:21602,451
ir:21661,452
ir:634,453
ir:ir-batch6-1628,454
ir:21371,455
ir:21136,456
ir:3123,457
ir:ir-batch6-2881,458
ir:1546,459
ir:15252,460
ir:ir-batch6-2563,461
ir:ir-batch6-4349,462
ir:22054,463
ir:ir-batch6-3574,464
ir:9842,465
ir:ir-batch6-5124,466
ir:20390,467
ir:1090,468
ir:1289,469
ir:14865,470
ir:25036,471
ir:20509,472
ir:ir-batch6-1029,473
ir:ir-batch6-706,474
ir:22606,475
ir:6039,476
ir:ir-batch6-2125,477
ir:10151,478
ir:4355,479
ir:21003,480
ir:ir-batch6-4575,481
ir:ir-batch6-5825,482
ir:24238,483
ir:9977,484
ir:24599,485
ir:ir-batch6-5011,486
ir:ir-batch6-3383,487
ir:25927,488
ir:ir-batch6-396,489
ir:ir-batch6-4186,490
ir:10770,491
ir:14745,492
ir:947,493
ir:10886,494
ir:13468,495
ir:3150,496
ir:23791,497
ir:ir-batch6-4433,498
ir:5073,499
ir:ir-batch6-492,500
ir:24373,501
ir:24930,502
ir:8826,503
ir:ir-batch6-502,504
ir:23999,505
ir:ir-batch6-778,506
ir:ir-batch6-1285,507
ir:ir-batch6-3451,508
ir:24808,509
ir:538,510
ir:ir-batch6-848,511
ir:ir-batch6-2962,512
ir:25741,513
ir:23601,514
ir:24756,515
ir:22616,516
ir:11480,517
ir:ir-batch6-826,518
ir:24735,519
ir:11389,520
ir:535,521
ir:ir-batch6-845,522
ir:20830,523
ir:15646,524
ir:25007,525
ir:14697,526
ir:1380,527
ir:ir-batch6-4037,528
ir:ir-batch6-1201,529
ir:ir-batch6-1711,530
ir:ir-batch6-3607,531
ir:23330,532
ir:5109,533
ir:2588,534
ir:ir-batch6-5088,535
ir:23181,536
ir:ir-batch6-1076,537
ir:26106,538
ir:23011,539
ir:22578,540
ir:ir-batch6-3861,541
ir:ir-batch6-2818,542
ir:1577,543
ir:4558,544
ir:ir-batch6-2290,545
ir:8227,546
ir:15773,547
ir:22065,548
ir:ir-batch6-2746,549
ir:20309,550
ir:23825,551
ir:23846,552
